constituency,district,votes_polled,winner_candidate,winner_party,winner_votes,winner_votes_diff_from_runner,runner_candidate,runner_party,runner_votes,runner_votes_diff_from_winner,second_runner,second_runner_party,second_runner_votes,second_runner_diff_from_winner,third_runner,third_runner_party,third_runner_votes,third_runner_diff_from_winner
Dindigul,,212024,SENTHILKUMAR. I.P,DMK,74489,1131,NAZEER RAJA. G,TVK,73358,-1131,SREENIVASAN. C,ADMK,53986,-20503,MUTHARASI. S,NTK,7299,-67190
Dr. Radhakrishnan Nagar,,181206,N. MARIE WILSON,TVK,97800,49668,J. JOHN EBENEZER,DMK,48132,-49668,R.S.RAAJESH,ADMK,26892,-70908,VENNILA.T,NTK,5364,-92436
Edappadi,,258263,EDAPPADI PALANISWAMI. K,ADMK,148933,98110,PREMKUMAR. K,IND,50823,-98110,KASI. C,DMK,44011,-104922,PRIYADHARSHINI. A,NTK,8450,-140483
Egmore,,119738,RAJMOHAN,TVK,53901,10804,TAMILAN PRASANNA,DMK,43097,-10804,ABISHEK. R,ADMK,18191,-35710,SARANYA IMRAN,NTK,2522,-51379
Erode East,,162453,M.VIJAY BALAJI,TVK,69747,23966,GOPINATH PALANIYAPPAN,INC,45781,-23966,R.MANOHARAN,ADMK,38183,-31564,S.THANDAVAMOORTHY,NTK,4987,-64760
Erode West,,221400,ANANTH MOGHAN K.K.,TVK,96836,22250,S. MUTHUSAMY,DMK,74586,-22250,M. YUVARAJA,BJP,38185,-58651,N. VIJAY,NTK,8124,-88712
Gandharvakottai,,167618,N. SUBRAMANIAN,TVK,58795,11039,C. UTHAYAKUMAR,BJP,47756,-11039,M. CHINNADURAI,CPM,46734,-12061,NATHIYA,NTK,10189,-48606
Gangavalli,,196679,NALLATHAMBI. A,ADMK,73167,14404,CHINNADURAI. K,DMK,58763,-14404,SUJATHA. V,TVK,55291,-17876,ABIRAMI. A,NTK,6242,-66925
Gingee,,216652,GANESHKUMAR A,PMK,78201,12645,GINGEE MASTHAN K S,DMK,65556,-12645,CHANDRASEKARAN B,TVK,61609,-16592,ADVOCATE KRISHNAN E,NTK,6371,-71830
Gobichettipalayam,,219727,SENGOTTAIYAN.K.A,TVK,82612,16620,NALLASIVAM.N,DMK,65992,-16620,PRABHU.V.B,ADMK,56232,-26380,SEETHALAKSHMI.M.K,NTK,8137,-74475
Gudalur,,151241,DHRAVIDAMANI.M,DMK,65590,22833,PON.JAYASEELAN,ADMK,42757,-22833,DEEPAK SAI KISHORE.A,TVK,34962,-30628,KARTHIK.R,NTK,6199,-59391
Gudiyattam,,229076,K.SINDU,TVK,82858,10097,K.B.PRADAP,DMDK,72761,-10097,PARITHA PURUSHOTHAMAN.G,ADMK,64122,-18736,J.EMALAN,NTK,5802,-77056
Gummidipoondi,,232522,S.VIJAYAKUMAR,TVK,94320,27945,SUDHAKAR.V,ADMK,66375,-27945,T.J.GOVINDARAJAN,DMK,62492,-31828,"R.SRIDAR. B.L.,",NTK,4756,-89564
Harbour,,99622,P K SEKARBABU,DMK,45254,11750,SINORA P S ASHOK,TVK,33504,-11750,R MANOHAR,ADMK,17256,-27998,R FOUZAN SHARIFF,NTK,1607,-43647
Harur,,220042,SAMPATHKUMAR. V,ADMK,75523,3329,SHANMUGAM. A,DMK,72194,-3329,RAKESH. K,TVK,62756,-12767,ANITHA. A,NTK,5245,-70278
Hosur,,277770,BALAKRISHNAREDDY. P,ADMK,109867,27803,VENDARKARASAN.S,TVK,82064,-27803,SATHYA.S.A.,DMK,73773,-36094,STALIN.R,NTK,7632,-102235
Jayankondam,,228548,VAITHILINGAM G.,PMK,88992,18490,KANNAN KA.SO.KA.,DMK,70502,-18490,KAVITHA RAJENDRAN G.,TVK,55538,-33454,REVATHI K.,NTK,6192,-82800
Jolarpet,,213042,VEERAMANI K.C.,ADMK,78633,16083,MUNISAMY C,TVK,62550,-16083,KAVITHADHANDAPANI,DMK,61977,-16656,SASIREKHA K,NTK,5974,-72659
Kadayanallur,,221951,RAJENDRAN. T. M,DMK,79832,6253,C. KRISHNAMURALI,ADMK,73579,-6253,ABDUL JALEEL. R. K,TVK,49254,-30578,ABUBACKER SIDDHEEQ,NTK,10965,-68867
Kalasapakkam,,214127,AGRI KRISHNAMURTHY. S S,ADMK,89629,26740,SARAVANAN. P.S.T,DMK,62889,-26740,ELUMALAI. P,TVK,51666,-37963,SEETHA SIVANANDAM. P,NTK,5312,-84317
Kallakurichi,,249626,ARUL VIGNESH C,TVK,81132,798,RAJEEVGANDHI S,ADMK,80334,-798,MALATHI K,VCK,77666,-3466,NAGAMMAL RAJKODI,NTK,7494,-73638
Kancheepuram,,246317,R.V. RANJITHKUMAR,TVK,91350,15488,V. SOMASUNDARAM,ADMK,75862,-15488,NITHYA SUGUMAR,DMK,69344,-22006,VETRISELVI,NTK,6950,-84400
Kangayam,,203534,NSN NATARAJ,ADMK,71122,8133,MANI GOUNDER,TVK,62989,-8133,M.P.SAMINATHAN,DMK,59230,-11892,KARMEGAN.M,NTK,7068,-64054
Kanniyakumari,,239150,THALAVAI SUNDARAM. N,ADMK,75045,214,MAHESH.R,DMK,74831,-214,MADHAVAN.S.R,TVK,72977,-2068,MARIA JENNIFER,NTK,13689,-61356
Karaikudi,,229267,DR.PRABHU. TK,TVK,101358,46074,MANGUDI. S,INC,55284,-46074,DHERPOKI V.PANDI,AMMK,33352,-68006,SEEMAN,NTK,30793,-70565
Karur,,216829,M.R. VIJAYABHASKAR,ADMK,71542,1821,MATHIYALAGAN V.P,TVK,69721,-1821,AASEE.M. THIAGARAJAN,DMK,67256,-4286,KARUPPAIYA. R,NTK,5465,-66077
Katpadi,,203497,DR M SUDHAKAR,TVK,69868,5870,V. RAMU,ADMK,63998,-5870,DURAIMURUGAN,DMK,62225,-7643,S. THIRUKKUMARAN,NTK,4625,-65243
Kattumannarkoil,,187905,L.E. JOTHIMANI,VCK,85179,33063,A. SOZHAN,PMK,52116,-33063,S. SEENUVASAN,TVK,43156,-42023,SIVAJOTHI .M,NTK,4563,-80616
Kavundampalayam,,363991,KANIMOZHI SANTHOSH,TVK,146466,42140,ARUNKUMAR PRG,ADMK,104326,-42140,SURYA PRAKASH K.P,INC,90726,-55740,KALAMANI JAGANATHAN,NTK,16834,-129632
Killiyoor,,177534,RAJESH KUMAR. S,INC,66434,1311,SABIN. S,TVK,65123,-1311,NIVIN SIMON. J,BJP,31070,-35364,HIMLAR,NTK,12764,-53670
Kilpennathur,,219790,RAMACHANDRAN.S,ADMK,90503,30465,PITCHANDI.K,DMK,60038,-30465,RAJA.D,TVK,59130,-31373,LOGANATHAN.V,NTK,6184,-84319
Kilvaithinankuppam,,189892,THENRAL KUMAR. E,TVK,74305,20255,JEGAN MOORTHY. M,ADMK,54050,-20255,DR. RAJESWARI. R,DMK,53898,-20407,KALAIYENTHIRI. R,NTK,5183,-69122
Kilvelur,,151637,LATHA. T,CPM,56108,2278,SENTHIL PANDIAN. P,TVK,53830,-2278,VADIVEL RAVANAN. S,PMK,31675,-24433,KARTHIKA. M,NTK,8069,-48039
Kinathukkadavu,,267917,VIGNESH K,TVK,99950,11710,SABARI KARTHIKEYAN K.V.K.S,DMK,88240,-11710,DAMODARAN S,ADMK,67789,-32161,BANUPRIYA M,NTK,9667,-90283
Kolathur,,184051,V. S. BABU,TVK,82997,8795,M. K. STALIN,DMK,74202,-8795,P. SANTHANA KRISHNAN,ADMK,18430,-64567,SOUNDARA PANDIAN LUDER SETH,NTK,5046,-77951
Kollachal,,199013,THARAHAI CUTHBERT,INC,66207,2833,PREM ALEX LAWRENCE,TVK,63374,-2833,SIVAKUMAR. T,BJP,54384,-11823,ANCY SHOBA RANI. L,NTK,12458,-53749
Kovilpatti,,194232,KARUNANITHI.K,DMK,61643,843,BALASUBRAMANIAN.S,TVK,60800,-843,KADAMBUR RAJU.C,ADMK,53014,-8629,PANDI.P,NTK,11919,-49724
Krishnagiri,,230181,MUKUNDHAN.P,TVK,89374,18844,ASHOKKUMAR.K,ADMK,70530,-18844,CHELLAKUMAR.A,INC,59597,-29777,SUGANTHI,NTK,6398,-82976
Krishnarajapuram,,189357,SATHYA. M,TVK,62378,3503,DR. DHIVYA. S,ADMK,58875,-3503,RAJA. C.K,DMK,57292,-5086,SATHIYA. V,NTK,6102,-56276
Kulithalai,,209091,SURIYANUR. A. CHANDRAN,DMK,68138,579,G.BALASUBRAMANI,TVK,67559,-579,S.KARUNAKARAN,ADMK,60317,-7821,SELVA.NANMAARAN,NTK,7978,-60160
Kumarapalayam,,205324,C.VIJAYALAKSHMI,TVK,81179,7696,P.THANGAMANI,ADMK,73483,-7696,S.BALU,DMK,39993,-41186,UVARANI SURESH,NTK,7663,-73516
Kumbakonam,,208288,VINOTH,TVK,78650,679,ANBALAGAN G,DMK,77971,-679,ASHOKKUMAR R,BJP,40103,-38547,ANANDH M,NTK,7710,-70940
Kunnam,,230570,SIVASANKAR. S.S,DMK,87237,15557,SARANYA. A,ADMK,71680,-15557,REVATHI MUTHAMILSELVAN,TVK,59170,-28067,KEERTHIVASAN. R,NTK,7482,-79755
Kurinjipadi,,213965,M.R.K.PANNEERSELVAM,DMK,76695,7589,A BHUVANENTHIRAN,ADMK,69106,-7589,RAJKUMAR D,TVK,53110,-23585,T KANNAN,TVVK,7113,-69582
Lalgudi,,185213,LEEMAROSE MARTIN,ADMK,60795,2739,KU PA KRISHNAN,TVK,58056,-2739,T. PARIVALLAL,DMK,55565,-5230,N. MADHAN,NTK,6992,-53803
Madathukulam,,188249,R JAYARAMAKRISHNAN,DMK,70458,15968,C SHANMUGAVELU,AMMK,54490,-15968,R THIRUMALAI,TVK,52684,-17774,M RADHAMANI,NTK,6578,-63880
Madavaram,,361998,M.L.VIJAYPRABHU,TVK,190462,94985,S.SUDHARSANAM,DMK,95477,-94985,MADHAVARAM V.MOORTHY,ADMK,59290,-131172,E.KRITHIKA,NTK,12637,-177825
Madurai Central,,148586,MADHAR BADHURUDEEN,TVK,63414,19128,PALANIVEL THIAGA RAJAN,DMK,44286,-19128,SUNDAR C,ADMK,33538,-29876,ABDUL HAKEEM K,NTK,5549,-57865
Madurai East,,271566,KARTHIKEYAN S,TVK,118777,16547,MOORTHY P,DMK,102230,-16547,MAHENDRAN K,ADMK,31016,-87761,SELVAM K,NTK,13629,-105148
Madurai North,,161801,A.KALLANAI,TVK,72853,18038,G.THALAPATHI,DMK,54815,-18038,P.SARAVANAN,ADMK,24982,-47871,V THIRUNAVUKKARASU,NTK,7415,-65438
Madurai South,,141503,M.M.GOPISON,TVK,62415,21529,M.BOOMINATHAN,DMK,40886,-21529,RAAMA SREENIVASAN,BJP,31100,-31315,B.M.SUMATHY,NTK,5863,-56552
Madurai West,,216403,THANGAPANDI SR,TVK,88250,11931,BALAJI R,DMK,76319,-11931,SELLUR K RAJU,ADMK,38961,-49289,VIGNESHKUMAR S,NTK,10574,-77676
Maduranthakam,,198251,MARAGATHAM KUMARAVEL.K,ADMK,69284,7194,EZHIL KATHARINE EZHILMALAI,TVK,62090,-7194,S.AMULU PONMALAR,DMK,59838,-9446,G.JANAKIRAMAN,NTK,4950,-64334
Maduravoyal,,293692,RHEVANTH CHARAN,TVK,141725,61509,GANAPATHY. K,DMK,80216,-61509,P. BENJAMIN,ADMK,54705,-87020,REVATHI L,NTK,13024,-128701
Mailam,,189221,SHANMUGAM C VE,ADMK,82353,30041,VIJAY NIRANJAN A,TVK,52312,-30041,VENKATESAN L,DMDK,46267,-36086,VIDJAIVIKRAM S,NTK,4383,-77970
Manachanallur,,209780,KATHIRAVAN. S,DMK,81447,12364,V.SARAVANAN,TVK,69083,-12364,R.V. BHARATHAN,ADMK,46066,-35381,THENMOZHI. R,NTK,9289,-72158
Manamadurai,,208643,ELANGOVAN.D,TVK,69971,1208,TAMILARASI.A,DMK,68763,-1208,BALAGANAPATHY.V,BJP,42610,-27361,SHANMUGAPRIYA.M,NTK,19676,-50295
Manapparai,,241216,R. KATHIRAVAN,TVK,83041,1426,DR. PL. VIJAYAKUMAR,ADMK,81615,-1426,P. ABDUL SAMED,DMK,61355,-21686,M. ARUNAGIRI,NTK,10070,-72971
Mannargudi,,194100,KAMARAJ. S,AMMK,68416,1566,RAJAA.T.R.B,DMK,66850,-1566,RAJARAJAN.U,TVK,44266,-24150,BHARATHISELVAN.R,NTK,8240,-60176
Mayuram,,188461,JAMAL MOHAMED YOUNOOS. Y.N,INC,68011,10845,PALANISAMY. A  M.COM.,PMK,57166,-10845,HAROON RASHEED. S.S,TVK,52538,-15473,KASIRAMAN. K,NTK,6886,-61125
Melur,,190726,P.VISWANATHAN,INC,60080,2724,A.MADURAIVEERAN,TVK,57356,-2724,P.PERIYAPULLAN (A) SELVAM,ADMK,56744,-3336,KOTTAIKUMAR,NTK,9570,-50510
Mettuppalayam,,244319,SUNILANAND,TVK,75664,7768,SMT.KAVITHA KALYANASUNDARAM,DMK,67896,-7768,O.K.CHINNARAJ,ADMK,61736,-13928,T.R.SHANMUGASUNDARAM,IND,26756,-48908
Mettur,,231105,VENKATACHALAM. G,ADMK,86498,19105,MIDHUN CHAKRAVARTHY. M,DMK,67393,-19105,SELVAM. K,TVK,65260,-21238,VIDHYA VEERAPPAN,NTK,7109,-79389
Modakkurichi,,190759,D.SHANMUGAN,TVK,60715,2430,S.KIRTHIKA,BJP,58285,-2430,S.SENTHILNATHAN,DMK,58236,-2479,M.ARUNKUMAR,NTK,6723,-53992
Mudhukulathur,,231373,R.S.RAJAKANNAPPAN,DMK,68003,16598,MALARVIZHI. B,TVK,51405,-16598,S.PANDI,ADMK,47501,-20502,DR.R.RAMKUMAR,AIPTMMK,40422,-27581
Musiri,,189141,M.VIGNESH,TVK,71281,17442,N.S.KARUNAIRAAJA,DMK,53839,-17442,N.YOGANATHAN,ADMK,52061,-19220,G. BAKIYALAKSHMI,NTK,8357,-62924
Mylapore,,150594,VENKATARAMANAN. P,TVK,70070,28972,VELU. DHA,DMK,41098,-28972,DR. TAMILISAI SOUNDARARAJAN,BJP,32328,-37742,ARUN. R.L,NTK,4499,-65571
Nagapattinam,,151326,M.H.JAWAHIRULLAH,DMK,56305,9781,M.SUGUMAR,TVK,46524,-9781,THANKA.KATHIRAVAN,ADMK,41586,-14719,FATHIMA FARHANA.S,NTK,5348,-50957
Nagercoil,,196280,AUSTIN,DMK,69880,7570,BERVIN KINGS G,TVK,62310,-7570,GANDHI M R,BJP,52355,-17525,MUTHUKUMAR M,NTK,8573,-61307
Namakkal,,212283,DILIP C S,TVK,79744,11008,SRIDEVI MOHAN P S,ADMK,68736,-11008,RANI P,DMK,52808,-26936,PRAVEENKUMAR K,NTK,6286,-73458
Nanguneri,,209419,REDDIARPATTI V. NARAYANAN,TVK,74952,16419,RUBY.R.MANOHARAN,INC,58533,-16419,R. ESAKKIMUTHU,AMMK,38316,-36636,S. SELVAM,NTK,17618,-57334
Nannilam,,231444,KAMARAJ. R,ADMK,103462,41724,MOHAMED MUBARAK,DMK,61738,-41724,PRABHAKARAN. S,TVK,54530,-48932,THENMOZHI DILIPKUMAR,NTK,8446,-95016
Natham,,239140,NATHAM VISWANATHAN R,ADMK,85708,11869,SELVAKUMAR K,DMK,73839,-11869,RAMESH L N,TVK,64997,-20711,ALAGAMMAL A,NTK,9677,-76031
Neyveli,,168780,RAJENDRAN.R,ADMK,63731,10962,SABA.RAJENDRAN,DMK,52769,-10962,ANAND.K,TVK,34291,-29440,THIRUMALVALAVAN.T,TVVK,11381,-52350
Nilakkottai,,197593,AYYANAR.R,TVK,68580,2925,NAGAJOTHI.S,DMK,65655,-2925,THENMOZHI.S,ADMK,49924,-18656,DR.KAILAI RAJAN.D,NTK,8615,-59965
Oddamchatram,,201624,SAKKARAPANI. R,DMK,93099,43249,VIDIYAL S. SEKAR,BJP,49850,-43249,MOHAN. S,TVK,49155,-43944,RAGUPATHI. P,NTK,5454,-87645
Omalur,,271119,MANI. R,ADMK,112246,14539,ADHIYAMAAN. R.V,TVK,97707,-14539,ELANGOVAN. A.R,DMDK,46917,-65329,SIVASAKTHI. M,NTK,8370,-103876
Orathanadu,,195304,R. VAITHILINGAM,DMK,86759,35028,DR. K. ARVIND,TVK,51731,-35028,M. SEKAR,ADMK,44260,-42499,S.THIRUMURUGAN,NTK,10135,-76624
Ottapidaram,,196117,P .MATHANRAJA,TVK,81625,29083,P.M.RAMAJEYAM,DMK,52542,-29083,R SUNDARARAJ,AMMK,25871,-55754,M. ANUSIYA,NTK,17279,-64346
Padmanabhapuram,,180555,CHELLASWAMY. R,CPM,68938,15569,KRISHNA KUMAR. S,TVK,53369,-15569,RAMESH. P,BJP,44293,-24645,SEELAN,NTK,11288,-57650
Palacodu,,225257,ANBALAGAN. K.P.,ADMK,102807,39042,GOPI. R.,TVK,63765,-39042,DR. DNV SENTHILKUMAR. S.,DMK,50043,-52764,BOOPATHI. R.,NTK,5598,-97209
Palani,,208619,RAVIMANOHARAN. K,ADMK,66986,693,DR. PRAVEEN KUMAR. M,TVK,66293,-693,PANDI. N,CPM,65534,-1452,MURUGESWARI. B,NTK,6300,-60686
Palayamkottai,,180620,M.ABDUL WAHAB,DMK,79744,13805,MARIA JOHN,TVK,65939,-13805,SYED SULTHAN SAMSUDEEN,ADMK,19732,-60012,SANKARA NARAYANAN ALIAS SARAN,NTK,10465,-69279
Palladam,,301014,K.RAMKUMAR,TVK,121297,37897,K.P.PARAMASIVAM,ADMK,83400,-37897,K.SELVARAJ,DMK,78625,-42672,K.V.THAMILINIYAN,NTK,13141,-108156
Pallavaram,,283677,J.KAMATCHI,TVK,133611,54693,D.MURUGESAN,DMDK,78918,-54693,V.VENKATESAN,ADMK,48921,-84690,DR.R.KARTHIKEYAN,NTK,14065,-119546
Panruti,,210767,MOHAN. K,ADMK,78398,10663,ABDUR RAHMAN. A.R,VCK,67735,-10663,MANIKANDAN. M,TVK,56022,-22376,BANUPRIYA. M,NTK,4884,-73514
Papanasam,,207723,A.M. SHAHJAHAN,IUML,69284,1065,AZARUDEEN UDUMAN ALI,TVK,68219,-1065,DORAI. SHANMUGA PRABU,ADMK,57072,-12212,ANIS FATHIMA,NTK,9604,-59680
Pappireddippatti,,236621,MARAGATHAM VETRIVEL,ADMK,101829,33114,PALANIAPPAN. P,DMK,68715,-33114,THILAGAVATHI. S,TVK,57619,-44210,ARCHANA TAMILARUVI,NTK,5216,-96613
Paramakudi,,189753,ADVOCATE. KATHIRAVAN. K.K,DMK,59161,3548,GOPIRAJAN. G,TVK,55613,-3548,DR. MUTHIAH. S,ADMK,54099,-5062,EZHIL ELAVARASI. R,NTK,15363,-43798
Paramathi-Velur,,188845,SEKAR S,ADMK,61349,308,MOORTHIY K S,DMK,61041,-308,NANDAKUMAR A,TVK,56067,-5282,ARAVIND M,NTK,5727,-55622
Pattukkottai,,183745,ANNADURAI K,DMK,65963,13754,MATHAN C,TVK,52209,-13754,SEKAR C V,ADMK,49575,-16388,KANNAN S,NTK,13145,-52818
Pennagaram,,228666,GAJENDRAN. S.,TVK,81240,3165,SELVAM. V.,PMK,78075,-3165,G. K. M. TAMILKUMARAN,INC,53901,-27339,PALANIYAMMAL. T.,NTK,7358,-73882
Perambalur,,253654,SIVAKUMAR. K,TVK,90882,14393,DR. JAYALAKSHMI. S.T,DMK,76489,-14393,THAMIZHSELVAN. R,ADMK,72716,-18166,SUGANYA. J,NTK,9474,-81408
Perambur,,204384,C. JOSEPH VIJAY,TVK,120365,53715,R.D. SHEKAR,DMK,66650,-53715,M. THILAGABAMA,PMK,8561,-111804,S. VETRI THAMIZHAN,NTK,5114,-115251
Peravurani,,176274,ASHOKKUMAR. N,DMK,60919,3162,GOVI.ELANGO,ADMK,57757,-3162,D.CHANDRAKANDEEBAN,TVK,45576,-15343,BHUVANA MANIYARASAN,NTK,9122,-51797
Periyakulam,,211209,SABARI IYNGARAN G.,TVK,85656,19321,SAKTHIVEL P.,VCK,66335,-19321,DR KATHIRKAMU K.,AMMK,44521,-41135,VIMALA R.,NTK,9610,-76046
Perundurai,,200686,JAYAKUMAR. S,ADMK,70302,9693,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,DMK,60609,-9693,ARUNACHALAM. V. P,TVK,59483,-10819,INGUR. C. LOGANATHAN,NTK,6468,-63834
Pollachi,,181196,K. NITHYANANDHAN,DMK,62013,4627,POLLACHI V. JAYARAMAN,ADMK,57386,-4627,G. RAMANATHAN,TVK,53819,-8194,N. SENTHIL KUMAR,NTK,4866,-57147
Polur,,211743,ABISHEK. R,TVK,67961,227,SARAVANAN. P,DMDK,67734,-227,BASKARAN. C. R,PMK,61444,-6517,UMADEVI. A,NTK,6425,-61536
Ponneri,,226819,DR.RAVI.M.S,TVK,110439,55768,DURAI CHANDRASEKAR,INC,54671,-55768,BALARAMAN.P,ADMK,51468,-58971,RAJATHI.M,NTK,6676,-103763
Poompuhar,,219324,NIVEDHA M MURUGAN,DMK,81096,8260,PAVUNRAJ. S,ADMK,72836,-8260,VIJAYALAIYAN. J,TVK,55902,-25194,ILAYANAGULAN. K,NTK,6353,-74743
Poonamallee,,308894,PRAKASAM.R,TVK,161309,72740,KRISHNASWAMY.A,DMK,88569,-72740,ELUMALAI.T.A,AMMK,43280,-118029,MEKALA.J,NTK,11697,-149612
Pudukkottai,,190378,V. MUTHURAJA,DMK,66825,1867,K.M. SHARIFF,TVK,64958,-1867,N. RAMACHANDRAN,BJP,41089,-25736,EZHILARASI VIJAYENDRAN,NTK,11673,-55152
Radhapuram,,199931,DR.SATHISH CHRISTOPHER,TVK,69947,12313,APPAVU.M,DMK,57634,-12313,BALAKRISHNAN.S.P,BJP,52637,-17310,GIRIJA THAMARAIPANDIAN.D,NTK,15370,-54577
Rajapalayam,,183020,JEGADESHWARI. K,TVK,65548,10605,THANGAPANDIAN. S,DMK,54943,-10605,PRISCILLA PANDIAN. J,BJP,36318,-29230,DR. KARTHIKEYAN. T.E.,NTK,16972,-48576
Ramanathapuram,,237576,KATHARBATCHA MUTHURAMALINGAM,DMK,89137,12459,SHAHUL HAMEED,TVK,76678,-12459,GBS K.NAGENDRAN,BJP,57730,-31407,S.M. MUTHU KESAVAN,NTK,10766,-78371
Ranipet,,221038,THAHIRA,TVK,91149,5787,R. GANDHI,DMK,85362,-5787,V.M. KARTHIKEYAN,BJP,32060,-59089,THAARIKHA SALMAN,NTK,7236,-83913
Rasipuram,,204680,LOGESH TAMILSELVAN D,TVK,74808,14511,PREMKUMAR S D,BJP,60297,-14511,MATHIVENTHAN M DR,DMK,57854,-16954,SASIKALA S,NTK,6415,-68393
Rishivandiyam,,244795,KARTHIKEYAN K,DMK,89711,4862,ASHOK KUMAR G,TVK,84849,-4862,CHEZHIYAN P,PMK,56488,-33223,RADHIKA P,NTK,7247,-82464
Royapuram,,127356,K.V. VIJAY DAMU,TVK,59091,14249,DR. A. SUBAIR KHAN,DMK,44842,-14249,D. JAYAKUMAR,ADMK,18420,-40671,A. BABU MAILAN,NTK,2947,-56144
