constituency,district,votes_polled,winner_candidate,winner_party,winner_votes,winner_votes_diff_from_runner,runner_candidate,runner_party,runner_votes,runner_votes_diff_from_winner,second_runner,second_runner_party,second_runner_votes,second_runner_diff_from_winner,third_runner,third_runner_party,third_runner_votes,third_runner_diff_from_winner
Thiruporur,,262409,B.VIJAYARAJ,TVK,110095,39351,R. PANNEERDOSS,VCK,70744,-39351,K. BALU,PMK,67392,-42703,AMBETH RAJAN,NTK,9616,-100479
Thirupparankundram,,255466,NIRMALKUMAR. R.,TVK,114316,41553,KIRUTHIGA THANGAPANDI,DMK,72763,-41553,RAJANCHELLAPPA. V.V.,ADMK,49865,-64451,SATHYADEVI. T.,NTK,14350,-99966
Thiruthuraipoondi,,191030,MARIMUTHU.K,CPI,74062,12922,PANDIYAN.S,TVK,61140,-12922,BALATHANDAYUTHAM.U,ADMK,43073,-30989,VINOTHINI.R,NTK,10176,-63886
Thiruvaiyaru,,222111,DURAI. CHANDRASEKARAN,DMK,80425,8555,MATHI. MANIKANDAN,TVK,71870,-8555,VELU. KARTHIKEYAN,AMMK,55121,-25304,DURAI. SENTHILNATHAN,NTK,10681,-69744
Thiruvallur,,226428,DR. T. ARUNKUMAR,TVK,92190,24760,V.G. RAAJENDRAN,DMK,67430,-24760,BE VEE RAMANAH,ADMK,56562,-35628,K. SENTHILKUMAR,NTK,5513,-86677
Thiruvarur,,217875,KALAIVANAN POONDI K,DMK,93408,18148,VEERAMANI V,TVK,75260,-18148,CHANDRASEKARAN GOVI,BJP,36387,-57021,ASWINI B,NTK,10031,-83377
Thiruverumbur,,213583,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,TVK,89837,8705,ANBIL MAHESH POYYAMOZHI,DMK,81132,-8705,KUMAR. P,ADMK,29473,-60364,RAJESSH. T,NTK,9311,-80526
Thiruvidaimarudur,,208944,GOVI.CHEZHIAAN,DMK,79951,14116,S.PRABAKARAN,TVK,65835,-14116,ELAMATHI SUBRAMANIAN,ADMK,52922,-27029,M.DIVYA BHARATHI,NTK,6363,-73588
Thiruvottiyur,,207088,SENTHIL KUMAR. N,TVK,110067,53564,SUNDARARAJ. L,CPM,56503,-53564,KUPPAN. K,ADMK,28320,-81747,SATHYA. B,NTK,8413,-101654
Thondamuthur,,258549,S.P.VELUMANI,ADMK,93316,14725,SATHISH RAJU (ALIAS) K.P.R. SATHISH,TVK,78591,-14725,N.R.KARTHIKEYAN,DMK,75917,-17399,RAJABU NISHA.Z,NTK,6976,-86340
Thoothukkudi,,204712,SRINATH,TVK,100536,37731,P. GEETHA JEEVAN,DMK,62805,-37731,CHELLAPANDIAN S.T.,ADMK,26213,-74323,JACOB DEVADOSS ABISHEAK R.,NTK,11752,-88784
Thousand Lights,,131824,PRABHAKAR.J.C.D,TVK,58965,15141,EZHILAN NAGANATHAN,DMK,43824,-15141,VALARMATHI.B,ADMK,23320,-35645,KALANCHIYAM.MU,NTK,3717,-55248
